,ZC,TP,MA,TM,TF,TH,AHS,MTW
0,90001,57110,26.6,28468,28642,12971,4.4,0.9939250052370644
1,90002,51223,25.5,24876,26347,11731,4.36,0.9441682164952366
2,90003,66266,26.3,32631,33635,15642,4.22,0.9701501412219414
3,90004,62180,34.8,31302,30878,22547,2.73,1.0137314592914048
4,90005,37681,33.9,19299,18382,15044,2.5,1.04988575780655
5,90006,59185,32.4,30254,28931,18617,3.13,1.0457294943140576
6,90007,40920,24.0,20915,20005,11944,3.0,1.0454886278430393
7,90008,32327,39.7,14477,17850,13841,2.33,0.8110364145658263
8,90010,3800,37.8,1874,1926,2014,1.87,0.9730010384215991
9,90011,103892,26.2,52794,51098,22168,4.67,1.0331911229402324
10,90012,31103,36.3,19493,11610,10327,2.12,1.6789836347975884
11,90013,11772,44.6,7629,4143,6416,1.26,1.841419261404779
12,90014,7005,44.8,4471,2534,4109,1.34,1.7644041041831098
13,90015,18986,31.3,9833,9153,7420,2.45,1.0742925816672129
14,90016,47596,33.9,22778,24818,16145,2.93,0.9178015956160851
15,90017,23768,29.4,12818,10950,9338,2.53,1.170593607305936
16,90018,49310,33.2,23770,25540,15493,3.12,0.9306969459671104
17,90019,64458,35.8,31442,33016,23344,2.7,0.9523261448994427
18,90020,38967,34.6,19381,19586,16514,2.35,0.989533340140917
19,90021,3951,44.3,2790,1161,1561,1.57,2.4031007751937983
20,90022,67179,29.8,33216,33963,17023,3.94,0.9780054765480082
21,90023,45903,28.4,23037,22866,10727,4.26,1.0074783521385464
22,90024,47452,23.6,22248,25204,17903,2.03,0.8827170290430091
23,90025,42147,34.7,20859,21288,21228,1.97,0.979847801578354
24,90026,67869,34.0,34515,33354,24956,2.68,1.0348084187803561
25,90027,45151,38.3,22362,22789,21929,1.99,0.981262889990785
26,90028,28714,34.0,16056,12658,14964,1.78,1.2684468320429767
27,90029,38617,34.6,19575,19042,13883,2.7,1.0279907572733957
28,90031,39316,33.5,19546,19770,11156,3.49,0.9886697015680324
29,90032,45786,32.4,22564,23222,12765,3.52,0.9716648006201016
30,90033,48852,29.2,24425,24427,12924,3.66,0.9999181233880542
31,90034,57964,32.8,28828,29136,25592,2.23,0.9894288852278967
32,90035,28418,37.5,13326,15092,12814,2.19,0.8829843625761993
33,90036,36865,33.9,17914,18951,18646,1.96,0.9452799324573901
34,90037,62276,28.8,31187,31089,15869,3.85,1.0031522403422433
35,90038,28917,33.1,15383,13534,11928,2.41,1.136618885769174
36,90039,28514,38.8,14383,14131,11436,2.47,1.017833132828533
37,90040,12520,31.2,6129,6391,3317,3.75,0.9590048505711156
38,90041,27425,39.0,13212,14213,9513,2.71,0.9295715190318722
39,90042,62430,33.6,30836,31594,19892,3.11,0.9760081028043299
40,90043,44789,38.7,20561,24228,16075,2.76,0.848646194485719
41,90044,89779,28.6,43128,46651,25144,3.55,0.9244817903153202
42,90045,39480,35.6,18958,20522,15224,2.37,0.9237891043757919
43,90046,48581,38.5,25854,22727,28534,1.69,1.137589651075813
44,90047,48606,36.2,22129,26477,16168,2.99,0.8357819994712392
45,90048,21397,39.2,10132,11265,11821,1.77,0.8994229915667998
46,90049,35482,41.3,16359,19123,16657,2.09,0.8554620090989907
47,90056,7827,48.4,3436,4391,3371,2.32,0.7825096788886359
48,90057,44998,31.2,24300,20698,15658,2.81,1.1740264759880181
49,90058,3223,26.0,1555,1668,892,3.6,0.9322541966426858
50,90059,40952,25.7,19623,21329,9596,4.19,0.9200150030474941
51,90061,26872,28.4,13049,13823,6892,3.85,0.9440063662012588
52,90062,32821,31.8,15720,17101,9155,3.55,0.9192444886263961
53,90063,55758,29.0,27843,27915,13260,4.19,0.9974207415368082
54,90064,25403,40.0,12297,13106,10968,2.29,0.9382725469250724
55,90065,45527,36.1,22873,22654,14476,3.12,1.0096671669462347
56,90066,55277,37.3,27714,27563,23985,2.29,1.0054783586692304
57,90067,2424,65.3,1074,1350,1510,1.61,0.7955555555555556
58,90068,22286,39.4,12018,10268,12326,1.8,1.170432411375146
59,90069,20483,41.5,12153,8330,13364,1.53,1.4589435774309725
60,90071,15,45.5,13,2,0,0.0,6.5
61,90073,539,56.9,506,33,4,1.25,15.333333333333334
62,90077,9377,47.9,4594,4783,3615,2.57,0.9604850512230817
63,90079,0,0.0,0,0,0,0.0,
64,90089,3217,19.3,1436,1781,31,1.94,0.8062886019090398
65,90090,0,0.0,0,0,0,0.0,
66,90094,5464,33.7,2559,2905,2949,1.85,0.880895008605852
67,90095,3,52.5,2,1,2,1.5,2.0
68,90201,101279,27.8,50658,50621,24104,4.16,1.0007309219493885
69,90210,21741,47.5,10292,11449,8669,2.49,0.8989431391387894
70,90211,8434,40.6,3849,4585,3706,2.28,0.8394765539803708
71,90212,11555,41.2,5211,6344,5567,2.08,0.8214060529634301
72,90220,49328,29.8,23773,25555,12741,3.85,0.9302680493054197
73,90221,53704,26.7,26346,27358,11630,4.57,0.9630089918853717
74,90222,31869,27.3,15375,16494,7520,4.21,0.9321571480538378
75,90230,31766,39.1,14932,16834,12883,2.45,0.8870143756682903
76,90232,15149,38.6,7333,7816,6605,2.28,0.9382036847492323
77,90240,25876,35.5,12501,13375,7632,3.36,0.9346542056074766
78,90241,42399,33.9,20466,21933,13617,3.09,0.9331144850225688
79,90242,43497,31.6,21207,22290,12687,3.41,0.9514131897711978
80,90245,16654,39.2,8304,8350,7085,2.34,0.9944910179640719
81,90247,47487,35.5,23217,24270,15830,2.96,0.9566131025957972
82,90248,9947,41.2,4823,5124,3427,2.89,0.9412568306010929
83,90249,26669,37.2,12897,13772,8880,2.98,0.9364652918966018
84,90250,93193,31.9,45113,48080,31087,2.98,0.9382903494176372
85,90254,19506,37.0,10273,9233,9550,2.04,1.1126394454673454
86,90255,75066,29.1,37525,37541,18419,4.06,0.9995737993127514
87,90260,34924,32.7,17509,17415,10429,3.33,1.0053976457077232
88,90262,69745,27.8,33919,35826,14669,4.57,0.9467705018701502
89,90263,1612,19.7,665,947,0,0.0,0.7022175290390708
90,90265,18116,46.5,9159,8957,7174,2.39,1.0225521938148934
91,90266,35135,40.9,17605,17530,14038,2.5,1.004278379920137
92,90270,27372,27.9,13992,13380,6554,4.16,1.0457399103139013
93,90272,22986,47.3,10952,12034,9212,2.49,0.9100880837626725
94,90274,25209,49.4,12199,13010,9479,2.66,0.937663335895465
95,90275,41804,47.8,20283,21521,15618,2.65,0.9424747920635658
96,90277,35293,42.0,17521,17772,16910,2.07,0.9858766599144722
97,90278,40071,38.2,19848,20223,16009,2.49,0.9814567571576918
98,90280,94396,29.4,46321,48075,23278,4.05,0.9635153406136245
99,90290,6368,45.0,3180,3188,2612,2.44,0.9974905897114178
100,90291,28341,37.6,14757,13584,14261,1.95,1.086351590106007
101,90292,21576,41.2,10729,10847,12654,1.7,0.98912141605974
102,90293,12132,40.4,5890,6242,6575,1.83,0.9436078180070491
103,90301,36568,32.6,17633,18935,11895,3.01,0.9312384473197782
104,90302,29415,32.8,13803,15612,10684,2.74,0.8841275941583397
105,90303,26176,30.4,12733,13443,7290,3.58,0.9471844082422078
106,90304,28210,28.1,14503,13707,6634,4.22,1.0580725176916903
107,90305,14853,43.3,6552,8301,5933,2.46,0.7893024936754608
108,90401,6722,37.8,3524,3198,4188,1.49,1.1019387116948092
109,90402,12250,47.0,5809,6441,5301,2.31,0.9018785902810122
110,90403,24525,40.8,11426,13099,13970,1.74,0.8722803267424994
111,90404,21360,37.4,10292,11068,10089,2.01,0.9298879653053849
112,90405,27186,40.8,13364,13822,14376,1.87,0.9668644190421067
113,90501,43180,35.0,21483,21697,14610,2.94,0.9901368852836798
